"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"117",11.08005942,6.95174416,68,10,19,3727,"N68,P10,K19","Sammaz 15","Sandy Loam"
"117",11.08005942,6.95174416,62,14,27,3260,"N62,P14,K27","Sammaz 15","Sandy Loam"
"117",11.08005942,6.95174416,67,20,0,5575,"N67,P20,K0","Sammaz 15","Sandy Loam"
"118",11.12186056,6.952888898,46,0,0,589,"N46,P0,K0","Sammaz 15","Sandy Loam"
"118",11.12186056,6.952888898,68,10,19,1496,"N68,P10,K19","Sammaz 15","Sandy Loam"
"118",11.12186056,6.952888898,62,14,27,1494,"N62,P14,K27","Sammaz 15","Sandy Loam"
"118",11.12186056,6.952888898,67,20,0,1514,"N67,P20,K0","Sammaz 15","Sandy Loam"
"119",11.14659121,6.953620602,46,0,0,771,"N46,P0,K0","Sammaz 15","Sandy Loam"
"119",11.14659121,6.953620602,68,10,19,1566,"N68,P10,K19","Sammaz 15","Sandy Loam"
"119",11.14659121,6.953620602,62,14,27,1343,"N62,P14,K27","Sammaz 15","Sandy Loam"
"119",11.14659121,6.953620602,67,20,0,1666,"N67,P20,K0","Sammaz 15","Sandy Loam"
"21",8.948666068,11.05556474,46,0,0,3250,"N46,P0,K0","Sammaz 15","Sandy Loam"
"21",8.948666068,11.05556474,68,10,19,3195,"N68,P10,K19","Sammaz 15","Sandy Loam"
"21",8.948666068,11.05556474,62,14,27,4658,"N62,P14,K27","Sammaz 15","Sandy Loam"
"21",8.948666068,11.05556474,67,20,0,4101,"N67,P20,K0","Sammaz 15","Sandy Loam"
"9",8.912804842,10.99690506,46,0,0,8134,"N46,P0,K0","Sammaz 15","Sandy Loam"
"9",8.912804842,10.99690506,68,10,19,10723,"N68,P10,K19","Sammaz 15","Sandy Loam"
"9",8.912804842,10.99690506,62,14,27,11169,"N62,P14,K27","Sammaz 15","Sandy Loam"
"9",8.912804842,10.99690506,67,20,0,11298,"N67,P20,K0","Sammaz 15","Sandy Loam"
"10",8.91548537,10.99780177,46,0,0,5339,"N46,P0,K0","Sammaz 15","Sandy Loam"
"10",8.91548537,10.99780177,68,10,19,6614,"N68,P10,K19","Sammaz 15","Sandy Loam"
"10",8.91548537,10.99780177,62,14,27,7047,"N62,P14,K27","Sammaz 15","Sandy Loam"
